feeder_id,event_id,name
281,23, South Ripley
282,24,Center Grove
283,24, Christel House Academy
284,24, Eminence
285,24, Franklin Community
286,24, Greenwood Community
287,24, Greenwood Christian Academy
288,24, Monrovia
289,24, Mooresville
290,24, Perry Meridian
291,24, Shelbyville
292,24, Southport
293,24, Waldron
294,24, Whiteland Community
295,25,Brown County
296,25, Brownstown Central
297,25, Columbus East
298,25, Columbus North
299,25, Crothersville
300,25, Edinburgh
301,25, Hauser
302,25, Indian Creek
303,25, Martinsville
304,25, Seymour
305,25, Southwestern (Shelbyville)
306,25, Trinity Lutheran
307,25, White River Valley
308,26,Clay City
309,26, Linton-Stockton
310,26, North Central (Farmersburg)
311,26, Northview
312,26, Owen Valley
313,26, Riverton Parke
314,26, Rockville
315,26, Shakamak
316,26, South Vermillion
317,26, Sullivan
318,26, Terre Haute North
319,26, Terre Haute South
320,26, Turkey Run
321,26, West Vigo
322,27,Bedford North Lawrence
323,27, Bloomfield
324,27, Bloomington North
325,27, Bloomington South
326,27, Eastern (Pekin)
327,27, Eastern Greene
328,27, Edgewood
329,27, Medora
330,27, Mitchell
331,27, Orleans
332,27, Paoli
333,27, Salem
334,27, West Washington
335,28,Austin
336,28, Charlestown
337,28, Henryville
338,28, Jennings County
339,28, Madison Consolidated
340,28, New Washington
341,28, Scottsburg
342,28, Shawe Memorial
343,28, Silver Creek
344,28, Southwestern (Hanover)
345,28, Switzerland County
346,29,Borden
347,29, Christian Academy of Indiana
348,29, Clarksville
349,29, Corydon Central
350,29, Crawford County
351,29, Floyd Central
352,29, Jeffersonville
353,29, Lanesville
354,29, New Albany
355,29, North Harrison
356,29, Providence
357,29, South Central (Elizabeth)
358,30,Cannelton
359,30, Forest Park
360,30, Heritage Hills
361,30, Jasper
362,30, Loogootee
363,30, Northeast Dubois
364,30, Perry Central
365,30, Shoals
366,30, South Spencer
367,30, Southridge
368,30, Springs Valley
369,30, Tell City
370,31,Barr-Reeve
371,31, Gibson Southern
372,31, North Daviess
373,31, North Knox
374,31, Pike Central
375,31, Princeton Community
376,31, South Knox
377,31, Tecumseh
378,31, Vincennes Lincoln
379,31, Vincennes Rivet
380,31, Washington
381,31, Washington Catholic
382,32,Boonville
383,32, Castle
384,32, Evansville Bosse
385,32, Evansville Central
386,32, Evansville Harrison
387,32, Evansville Mater Dei
388,32, Evansville Memorial
389,32, Evansville North
390,32, Evansville F.J. Reitz
391,32, Mt. Vernon
392,32, North Posey
393,32, Signature
394,33,Crown Point
395,33,Hammond Gavit
396,34,Chesterton
397,34,Renssealer Central
398,35,Benton Central
399,35,Harrison (West Lafayette)
400,36,Culver Academies
401,36,Logansport
402,37,Elkhart Central
403,37,South Bend Riley
404,38,Fort Wayne Northrop
405,38,West Noble
406,39,Bellmont 
407,39,Marion
408,40,Delta
409,40,Pendelton Heights
410,41,Ben Davis
411,41,South Putnam
412,42,Brebeuf Jesuit Preparatory
413,42,Noblesville
414,43,Connersville
415,43,New Palestine
416,44,Franklin Community
417,44,South Dearborn
418,45,Brown County
419,45,Southwestern (Hanover)
420,46,Bedford North Lawrence
421,46,Terra Haute North Vigo
422,47,Crawford County
423,47,Jasper
424,48,Evansville Mater Dei
425,48,South Knox
426,49,Bedford North Lawrence
427,49,Brown County
428,49,Crawford County
429,49,Pike Central
430,50,Ben Davis
431,50,Noblesville
432,50,Rushville
433,50,Shelbyville
434,51,Delta
435,51,Elkhart Central
436,51,Marion
437,51,West Noble
438,52,Crown Point
439,52,Culver Academies
440,52,Harrison (West Lafayette)
441,52,New Prairie
442,53,Brown County
443,53,Shelbyville
444,53,New Haven
445,53,New Prairie
